24,0,21,33,14,0,28,42,0,0,0,0,4
159,0,306,263,204,0,655,479,0,200,0,150,4
24,0,30,30,20,0,39,39,0,8,0,6,0
134,0,150,194,100,0,224,284,0,32,0,24,0
63,0,63,100,42,0,100,152,0,0,0,0,0
48,0,60,69,40,0,96,94,0,16,0,12,0
27,0,33,34,22,0,43,41,0,8,0,6,0
67,0,90,94,60,0,140,137,0,32,0,24,4
70,0,87,98,58,0,123,157,0,24,0,18,0
30,0,33,42,22,0,51,54,0,8,0,6,0
65,0,87,86,58,0,129,124,0,32,0,24,0
42,0,54,52,36,0,70,75,0,16,0,12,0
65,0,114,67,76,0,152,98,0,72,0,54,0
27,0,27,40,18,0,40,52,0,0,0,0,4
37,0,48,53,32,0,82,67,0,16,0,12,0
62,0,90,79,60,0,130,118,0,40,0,30,4
141,2,240,216,156,0,471,365,0,128,0,96,4
34,0,39,46,26,0,53,67,0,8,0,6,4
33,0,39,46,26,0,55,67,0,8,0,6,4
20,0,36,24,24,0,60,27,0,24,0,18,0
32,0,42,40,28,0,65,44,0,16,0,12,0
27,0,27,36,18,0,36,48,0,0,0,0,0
6,0,6,4,4,0,4,0,0,0,0,0,0
87,2,145,138,94,0,301,272,0,80,0,60,4
66,0,72,102,48,0,111,159,0,8,0,6,0
66,0,81,86,54,0,109,126,0,24,0,18,0
18,0,24,18,16,0,27,23,0,8,0,6,0
33,0,57,41,38,0,95,46,0,32,0,24,0
50,0,45,76,30,0,70,104,0,0,0,0,0
24,0,24,32,16,0,32,40,0,0,0,0,0
41,0,39,58,26,0,55,70,0,0,0,0,0
43,0,42,64,28,0,62,88,0,0,0,0,0
50,2,61,56,38,0,76,82,0,16,0,12,4
47,0,69,61,46,0,107,79,0,32,0,24,0
48,0,54,70,36,0,79,103,0,8,0,6,0
22,0,21,30,14,0,29,34,0,0,0,0,0
55,0,60,86,40,0,103,123,0,8,0,6,4
24,0,42,30,28,0,72,36,0,24,0,18,0
52,0,99,65,66,0,169,78,0,64,0,48,0
48,0,48,72,32,0,72,104,0,0,0,0,0
48,0,57,63,38,0,80,79,0,16,0,12,0
101,0,174,127,116,0,272,185,0,104,0,78,4
34,0,39,46,26,0,53,65,0,8,0,6,0
93,0,129,144,86,0,234,231,0,56,0,42,8
54,0,66,76,44,0,94,118,0,16,0,12,0
38,0,66,53,44,0,124,67,0,40,0,30,0
17,0,27,20,18,0,43,20,0,16,0,12,0
15,2,17,8,8,0,10,10,0,0,0,0,0
36,0,36,52,24,0,52,72,0,0,0,0,0
78,0,146,115,96,2,273,202,0,88,0,66,0
41,0,39,60,26,0,56,80,0,0,0,0,0
189,0,291,278,194,0,514,463,0,152,0,114,0
36,0,48,46,32,0,67,58,0,16,0,12,0
29,0,27,37,18,0,34,42,0,0,0,0,0
25,0,24,34,16,0,33,44,0,0,0,0,0
21,0,21,28,14,0,28,32,0,0,0,0,0
48,0,48,72,32,0,72,104,0,0,0,0,0
